timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721504801982,1406,Load Login(for key),200,OK,Login  1-37,text,true,,39680,157,48,48,https://magento.softwaretestingboard.com/customer/account/login,1392,0,102
1721504795695,7795,Load Login(for key),200,OK,Login  1-9,text,true,,39678,157,48,48,https://magento.softwaretestingboard.com/customer/account/login,7782,0,118
1721504799532,4015,Login,200,OK,Login  1-13,text,true,,58311,774,48,48,https://magento.softwaretestingboard.com/customer/account/,1449,0,0
1721504799532,1449,Login-0,302,Found,Login  1-13,text,true,,6783,403,48,48,https://magento.softwaretestingboard.com/customer/account/loginPost,1449,0,0
1721504800981,2566,Login-1,200,OK,Login  1-13,text,true,,51528,371,48,48,https://magento.softwaretestingboard.com/customer/account/,2549,0,0
1721504798216,5451,Load Login(for key),200,OK,Login  1-33,text,true,,39680,157,48,48,https://magento.softwaretestingboard.com/customer/account/login,5445,0,117
1721504802349,1415,Load Login(for key),200,OK,Login  1-5,text,true,,39693,157,48,48,https://magento.softwaretestingboard.com/customer/account/login,1393,0,135
1721504796518,7426,Login,200,OK,Login  1-45,text,true,,58309,774,48,48,https://magento.softwaretestingboard.com/customer/account/,5561,0,0
1721504796518,5561,Login-0,302,Found,Login  1-45,text,true,,6785,403,48,48,https://magento.softwaretestingboard.com/customer/account/loginPost,5561,0,0
1721504802080,1864,Login-1,200,OK,Login  1-45,text,true,,51524,371,48,48,https://magento.softwaretestingboard.com/customer/account/,1850,0,0
1721504802551,1571,Load Login(for key),200,OK,Login  1-21,text,true,,39680,157,48,48,https://magento.softwaretestingboard.com/customer/account/login,1520,0,144
1721504802473,1658,Account Page,200,OK,Login  1-10,text,true,,51516,370,48,48,https://magento.softwaretestingboard.com/customer/account,1649,0,0
1721504798693,5453,Account Page,200,OK,Login  1-27,text,true,,51514,370,47,47,https://magento.softwaretestingboard.com/customer/account,5438,0,0
1721504801059,3088,Account Page,200,OK,Login  1-19,text,true,,51521,370,47,47,https://magento.softwaretestingboard.com/customer/account,3073,0,0
1721504795024,9431,Login,200,OK,Login  1-36,text,true,,58315,774,46,46,https://magento.softwaretestingboard.com/customer/account/,7327,0,0
1721504795024,7327,Login-0,302,Found,Login  1-36,text,true,,6783,403,46,46,https://magento.softwaretestingboard.com/customer/account/loginPost,7327,0,0
