timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721504793248,2335,Account Page,200,OK,Login  1-18,text,true,,51510,370,50,50,https://magento.softwaretestingboard.com/customer/account,2316,0,0
1721504789402,6182,Login,200,OK,Login  1-14,text,true,,58311,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1773,0,0
1721504789402,1773,Login-0,302,Found,Login  1-14,text,true,,6787,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1773,0,0
1721504791175,4409,Login-1,200,OK,Login  1-14,text,true,,51524,371,50,50,https://magento.softwaretestingboard.com/customer/account/,4408,0,0
1721504793254,2431,Account Page,200,OK,Login  1-8,text,true,,51510,370,50,50,https://magento.softwaretestingboard.com/customer/account,2377,0,0
1721504791884,3806,Login,200,OK,Login  1-25,text,true,,58313,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1686,0,0
1721504791884,1686,Login-0,302,Found,Login  1-25,text,true,,6783,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1686,0,0
1721504793570,2120,Login-1,200,OK,Login  1-25,text,true,,51530,371,50,50,https://magento.softwaretestingboard.com/customer/account/,2118,0,0
1721504793345,2348,Account Page,200,OK,Login  1-9,text,true,,51520,370,50,50,https://magento.softwaretestingboard.com/customer/account,2346,0,0
1721504793954,1922,Account Page,200,OK,Login  1-29,text,true,,51525,370,50,50,https://magento.softwaretestingboard.com/customer/account,1912,0,0
1721504794031,2037,Account Page,200,OK,Login  1-16,text,true,,51512,370,50,50,https://magento.softwaretestingboard.com/customer/account,2016,0,0
1721504794177,1891,Account Page,200,OK,Login  1-19,text,true,,51520,370,50,50,https://magento.softwaretestingboard.com/customer/account,1891,0,0
1721504790301,5948,Login,200,OK,Login  1-28,text,true,,58321,774,50,50,https://magento.softwaretestingboard.com/customer/account/,3558,0,0
1721504790301,3558,Login-0,302,Found,Login  1-28,text,true,,6785,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,3558,0,0
1721504793859,2390,Login-1,200,OK,Login  1-28,text,true,,51536,371,50,50,https://magento.softwaretestingboard.com/customer/account/,2365,0,0
1721504788994,7290,Login,200,OK,Login  1-7,text,true,,58315,774,50,50,https://magento.softwaretestingboard.com/customer/account/,4987,0,0
1721504788994,4987,Login-0,302,Found,Login  1-7,text,true,,6789,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,4987,0,0
1721504793981,2303,Login-1,200,OK,Login  1-7,text,true,,51526,371,50,50,https://magento.softwaretestingboard.com/customer/account/,2281,0,0
1721504790694,5596,Login,200,OK,Login  1-33,text,true,,58321,774,50,50,https://magento.softwaretestingboard.com/customer/account/,3565,0,0
1721504790694,3565,Login-0,302,Found,Login  1-33,text,true,,6783,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,3565,0,0
1721504794259,2031,Login-1,200,OK,Login  1-33,text,true,,51538,371,50,50,https://magento.softwaretestingboard.com/customer/account/,2025,0,0
1721504791495,4861,Login,200,OK,Login  1-23,text,true,,58311,774,50,50,https://magento.softwaretestingboard.com/customer/account/,3090,0,0
1721504791495,3090,Login-0,302,Found,Login  1-23,text,true,,6779,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,3090,0,0
1721504794585,1771,Login-1,200,OK,Login  1-23,text,true,,51532,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1760,0,0
1721504794279,2101,Account Page,200,OK,Login  1-31,text,true,,51537,370,50,50,https://magento.softwaretestingboard.com/customer/account,2084,0,0
1721504790888,5542,Login,200,OK,Login  1-35,text,true,,58315,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1682,0,0
1721504790888,1682,Login-0,302,Found,Login  1-35,text,true,,6783,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1682,0,0
1721504792570,3860,Login-1,200,OK,Login  1-35,text,true,,51532,371,50,50,https://magento.softwaretestingboard.com/customer/account/,3847,0,0
1721504789772,6742,Load Login(for key),200,OK,Login  1-45,text,true,,39684,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,6698,0,84
1721504794671,1845,Load Login(for key),200,OK,Login  1-4,text,true,,39688,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1845,0,111
1721504792763,3766,Login,200,OK,Login  1-41,text,true,,58322,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1705,0,0
1721504792763,1705,Login-0,302,Found,Login  1-41,text,true,,6785,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1705,0,0
1721504794468,2061,Login-1,200,OK,Login  1-41,text,true,,51537,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1912,0,0
1721504792621,3929,Login,200,OK,Login  1-40,text,true,,58313,774,50,50,https://magento.softwaretestingboard.com/customer/account/,2062,0,0
1721504792621,2062,Login-0,302,Found,Login  1-40,text,true,,6783,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,2062,0,0
1721504794684,1866,Login-1,200,OK,Login  1-40,text,true,,51530,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1858,0,0
1721504790601,5962,Login,200,OK,Login  1-32,text,true,,58311,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1574,0,0
